Irradiance,Ta,f_sw,Device,Tj,delta_Tj
0.0,27.608333,10000,IGBT,29.08129524838013,1.5612579999999987
0.0,27.179167000000003,10000,IGBT,28.001805304535637,0.8709810000000004
0.0,26.479123,10000,IGBT,27.179445123110153,0.7405040000000014
0.0,26.09162899952004,10000,IGBT,26.556674360211183,0.49352700000000027
0.0,25.845770998080155,10000,IGBT,26.1602768149748,0.33171500000000265
0.0,25.562400996640267,10000,IGBT,25.848807654427645,0.3045519999999975
1.228701725461963e-06,25.224852933045355,10000,IGBT,25.534288395248378,0.3302379999999978
2.670560785993161,24.84979420038397,10000,IGBT,25.193464738900886,0.3469850000000001
102.07129341972643,24.950356782577394,10000,IGBT,26.09121232109431,6.771749999999997
430.65774853851696,25.967595005759538,10000,IGBT,43.455456206863445,25.929306000000004
738.2709999328054,27.43022890136789,10000,IGBT,61.918237968322536,18.266932999999995
729.8666125197984,28.734239887688982,10000,IGBT,71.33940019030477,12.693668000000002
650.6358554859611,29.70487800671946,10000,IGBT,73.25269725053995,11.319658000000004
753.8187828797696,30.521624908807294,10000,IGBT,75.96181918790496,11.241250999999991
854.1310890712742,31.25483391840653,10000,IGBT,76.40945401271898,11.438626999999997
864.1457017278617,31.825560000000003,10000,IGBT,78.54399248284138,11.050196
859.7989589416846,32.32559951403888,10000,IGBT,78.03648201511879,10.703645999999992
812.5592018790497,32.50816253203744,10000,IGBT,79.46286962467002,10.505050999999995
614.271179287257,32.10324897552196,10000,IGBT,77.78842882913366,11.186219000000008
255.13234429253663,31.415644082793378,10000,IGBT,75.86337977921767,11.780088000000006
30.23105178785697,30.71556627141829,10000,IGBT,63.319757787856965,17.019405999999996
0.6227022078234101,30.01550667146628,10000,IGBT,46.02630472162227,15.071444999999997
0.0,29.31130988912887,10000,IGBT,35.50674867194624,6.607649000000002
0.0,28.566039999999997,10000,IGBT,31.165801062995914,2.7621639999999985
0.0,27.733404,10000,IGBT,29.152749108471323,1.501100000000001
0.0,26.854167,10000,IGBT,27.887329115190784,1.0981819999999978
0.0,26.141623,10000,IGBT,26.919943681305497,0.826550000000001
0.0,25.737459,10000,IGBT,26.239089877849775,0.5343790000000013
0.0,25.483273,10000,IGBT,25.812382695224382,0.3497500000000002
0.0,25.23325299952004,10000,IGBT,25.500359803455723,0.2853049999999975
7.871370122390209e-07,24.97906296112311,10000,IGBT,25.22724265346772,0.2657159999999976
1.7108312978329014,24.73320779433645,10000,IGBT,24.97127505663547,0.24334299999999942
71.19174194384449,24.904518677465802,10000,IGBT,25.47939232133429,3.7792829999999995
412.27204556275495,25.875874997840175,10000,IGBT,39.892151557955366,26.030238999999998
751.5027053803697,27.23847787976962,10000,IGBT,60.235075788336935,19.651401
829.7745773146148,28.38825283585313,10000,IGBT,70.86353610463163,13.597986000000006
825.0046363258939,29.092077003839695,10000,IGBT,73.68605993664507,12.006983000000005
811.5490085169187,29.562956074874013,10000,IGBT,76.40165181641468,11.070559000000003
842.7802785241181,30.11315007199424,10000,IGBT,76.09923768802496,11.114902999999998
869.1620462131029,30.80084,10000,IGBT,77.94152378449725,11.066063
822.9136554427646,31.55089941804656,10000,IGBT,77.38818306911448,10.738130999999996
745.6501272066236,31.920822366450686,10000,IGBT,78.69324940148788,10.470727999999994
653.9363967146629,31.544824991360695,10000,IGBT,77.22242531149509,10.849418999999997
359.66965915046796,30.798920082073433,10000,IGBT,76.49627134941205,11.456835999999996
62.69628171820494,30.086435524838013,10000,IGBT,67.14971091648668,14.980934999999995
0.12454044156459082,29.449005409167267,10000,IGBT,50.09100451091913,18.061661
0.0,28.836449852171825,10000,IGBT,36.90535993664506,8.542563999999999
0.0,28.16192,10000,IGBT,31.362424407069007,3.408334
0.0,27.379233999999997,10000,IGBT,28.972827161987038,1.6910039999999995
0.0,26.533333,10000,IGBT,27.60508706863451,1.1413149999999987
0.0,25.812453,10000,IGBT,26.61144933021358,0.8510139999999993
0.0,25.32910699976002,10000,IGBT,25.889165555555557,0.5988190000000024
0.0,24.949908002639788,10000,IGBT,25.37517473938085,0.4554760000000009
0.0,24.599899003839692,10000,IGBT,24.956738220542356,0.38203200000000237
7.295419798416127e-07,24.316566952483804,10000,IGBT,24.609496382289418,0.312854999999999
1.5856548023047756,24.058189869450445,10000,IGBT,24.319728424526037,0.2741429999999987
76.9095655824334,24.187821553635708,10000,IGBT,24.86633789824814,4.216474000000002
365.58627401727864,25.084144,10000,IGBT,39.287479699544036,25.145155000000003
681.3607357067435,26.35091196616271,10000,IGBT,59.04998362586993,19.566409
708.7640244108471,27.559252953923686,10000,IGBT,69.61046141180707,13.091392999999997
617.9608951883849,28.642560997120228,10000,IGBT,71.9858971826254,11.466830999999999
653.9613721166306,29.655134912646986,10000,IGBT,74.74809591336692,11.040704000000005
788.1230213894888,30.575866889608832,10000,IGBT,75.16757787976961,11.439509000000001
735.7230860547156,31.313219,10000,IGBT,77.58592367386609,10.666483999999997
663.1294030309575,31.95493641684665,10000,IGBT,76.5457045485961,10.248778999999999
705.5319890568755,32.21651636645068,10000,IGBT,78.1041499138469,10.303665999999993
600.9696706287497,31.732177008639308,10000,IGBT,76.83548856395488,10.787051000000005
303.0030729563235,30.8862846949844,10000,IGBT,75.77363942380609,11.422628000000003
46.79407024702184,30.107203298296138,10000,IGBT,65.12384041228701,15.467534000000008
0.1245404415608284,29.44064446100312,10000,IGBT,47.89031591648668,16.681846999999998
0.0,28.81560294960403,10000,IGBT,35.95534049892009,7.599917000000005
0.0,28.166133,10000,IGBT,31.027987799471028,3.0445819999999983
